Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,Provincial Subsidies,805A,Revenues,-4076300.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,Salaries And Benefits,100A,Expenses,1309814.68
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Homemakers & Nurses Services,Service And Rent,400A,Expenses,4147285.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Equipment,300A,Expenses,21700.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Inter-Divisional Charges,700A,Expenses,14800.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Materials & Supplies,200A,Expenses,9350.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Other Expenditures,650A,Expenses,22900.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Provincial Subsidies,805A,Revenues,-5287900.0
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Salaries And Benefits,100A,Expenses,1375482.25
Long Term Care Homes & Services,HA-Communtiy Based Long-Term Care,Supportive Housing Services,Service And Rent,400A,Expenses,3843703.36
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Contribution From Reserves/Reserve Funds,930A,Revenues,-103400.0
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Contribution To Reserves/Reserve Funds,510A,Expenses,1901531.92
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Equipment,300A,Expenses,2855800.0
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Inter-Divisional Charges,700A,Expenses,599429.91
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Inter-Divisional Recoveries,750A,Revenues,-89700.0
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Materials & Supplies,200A,Expenses,19797200.0
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Other Expenditures,650A,Expenses,-63200.0
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Provincial Subsidies,805A,Revenues,-142944723.43
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Salaries And Benefits,100A,Expenses,202916701.78
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Service And Rent,400A,Expenses,12384854.38
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Sundry and Other Revenues,940A,Revenues,-139000.0
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,Transfers From Capital,920A,Revenues,-260000.0
Long Term Care Homes & Services,Long Term Care Homes,Long Term Care Homes,User Fees & Donations,850A,Revenues,-50987800.0
Mayor's Office,Mayor's Office,Mayor's Office,Inter-Divisional Charges,700A,Expenses,7047.0
Mayor's Office,Mayor's Office,Mayor's Office,Materials & Supplies,200A,Expenses,4800.0
Mayor's Office,Mayor's Office,Mayor's Office,Salaries And Benefits,100A,Expenses,2200853.53
Mayor's Office,Mayor's Office,Mayor's Office,Service And Rent,400A,Expenses,84409.4
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Contribution To Reserves/Reserve Funds,510A,Expenses,26844.12
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Equipment,300A,Expenses,5546.42
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Inter-Divisional Charges,700A,Expenses,290397.06
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Licences & Permits Revenue,860A,Revenues,-732754.48
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Materials & Supplies,200A,Expenses,228880.24
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Other Expenditures,650A,Expenses,13871.47
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Salaries And Benefits,100A,Expenses,3887294.05
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Service And Rent,400A,Expenses,280309.18
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,Sundry and Other Revenues,940A,Revenues,-209761.81
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Mobile Response,User Fees & Donations,850A,Revenues,-62276.59
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Contribution From Reserves/Reserve Funds,930A,Revenues,-4000.02
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Contribution To Reserves/Reserve Funds,510A,Expenses,21401.71
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Equipment,300A,Expenses,13174.62
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Inter-Divisional Charges,700A,Expenses,143063.23
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Licences & Permits Revenue,860A,Revenues,-98328.18
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Materials & Supplies,200A,Expenses,244161.61
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Other Expenditures,650A,Expenses,7735.99
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Salaries And Benefits,100A,Expenses,1789117.99
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Service And Rent,400A,Expenses,311038.0
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,Sundry and Other Revenues,940A,Revenues,-159209.51
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Animal Sheltering & Adoption,User Fees & Donations,850A,Revenues,-235704.16
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Contribution To Reserves/Reserve Funds,510A,Expenses,10516.89
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Equipment,300A,Expenses,597.5
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Inter-Divisional Charges,700A,Expenses,43070.44
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Licences & Permits Revenue,860A,Revenues,-845160.84
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Materials & Supplies,200A,Expenses,4675.17
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Other Expenditures,650A,Expenses,24510.03
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Salaries And Benefits,100A,Expenses,360989.92
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Service And Rent,400A,Expenses,36480.17
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,Sundry and Other Revenues,940A,Revenues,-3157.42
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Cat & Dog Licensing,User Fees & Donations,850A,Revenues,-485.41
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Contribution From Reserves/Reserve Funds,930A,Revenues,-6000.02
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Contribution To Reserves/Reserve Funds,510A,Expenses,15959.29
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Equipment,300A,Expenses,22481.48
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Inter-Divisional Charges,700A,Expenses,74653.8
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Licences & Permits Revenue,860A,Revenues,-17110.14
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Materials & Supplies,200A,Expenses,273463.37
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Other Expenditures,650A,Expenses,3882.5
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Salaries And Benefits,100A,Expenses,1648021.54
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Service And Rent,400A,Expenses,285482.98
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,Sundry and Other Revenues,940A,Revenues,-88785.46
Municipal Licensing & Standards,"MS-Animal Care, Control & Sheltering",Veterinary Care,User Fees & Donations,850A,Revenues,-326571.99
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Contribution To Reserves/Reserve Funds,510A,Expenses,12686.18
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Equipment,300A,Expenses,3567.5
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Inter-Divisional Charges,700A,Expenses,1062671.48
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Licences & Permits Revenue,860A,Revenues,-10855461.14
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Materials & Supplies,200A,Expenses,23407.68
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Other Expenditures,650A,Expenses,108540.0
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Salaries And Benefits,100A,Expenses,1895211.67
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Service And Rent,400A,Expenses,45870.31
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,Sundry and Other Revenues,940A,Revenues,-32909.73
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business & Trade Licensing,User Fees & Donations,850A,Revenues,-543574.28
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Contribution To Reserves/Reserve Funds,510A,Expenses,12686.18
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Equipment,300A,Expenses,660.5
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Inter-Divisional Charges,700A,Expenses,221080.6
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Licences & Permits Revenue,860A,Revenues,-1688627.29
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Materials & Supplies,200A,Expenses,3935.2
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Other Expenditures,650A,Expenses,16884.0
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Salaries And Benefits,100A,Expenses,424234.21
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Service And Rent,400A,Expenses,6380.64
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,Sundry and Other Revenues,940A,Revenues,-5119.29
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Business Permitting,User Fees & Donations,850A,Revenues,-84556.0
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Equipment,300A,Expenses,229.5
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Inter-Divisional Charges,700A,Expenses,59430.88
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Licences & Permits Revenue,860A,Revenues,-723697.4
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Materials & Supplies,200A,Expenses,1524.3
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Other Expenditures,650A,Expenses,7236.0
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Salaries And Benefits,100A,Expenses,113400.62
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Service And Rent,400A,Expenses,1254.14
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,Sundry and Other Revenues,940A,Revenues,-2193.99
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Licensing Tribunal,User Fees & Donations,850A,Revenues,-36238.29
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Contribution To Reserves/Reserve Funds,510A,Expenses,25372.36
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Equipment,300A,Expenses,16296.52
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Inter-Divisional Charges,700A,Expenses,1421511.6
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Licences & Permits Revenue,860A,Revenues,-10855461.14
Municipal Licensing & Standards,"MS-Business Licensing, Enforcement, & Permitting",Taxi & Livery Licensing,Materials & Supplies,200A,Expenses,42388.12
